id,mode,firstReviewDate,lastReviewDate,rating,previousRating,repetitionNumber,nTimesSeen,nTimesWrong,nTimesCorrect,nTimesBad,nTimesMedium,nTimesGood
117,cn2en,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
112,en2cn,2021/04/21,2021/10/17,3.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0
106,cn2en,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
97,en2cn,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
100,cn2en,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
98,cn2en,2021/04/21,2021/04/21,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
123,cn2en,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
99,en2cn,2021/04/21,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
115,en2cn,2021/04/21,2021/10/21,5.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0
114,cn2en,2021/04/21,2021/10/21,4.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
109,cn2en,2021/04/21,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
113,cn2en,2021/04/21,2021/10/22,4.0,2.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0
119,cn2en,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
117,en2cn,2021/04/21,2021/10/21,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
99,cn2en,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
118,cn2en,2021/04/21,2021/10/22,4.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0
96,cn2en,2021/04/21,2021/10/21,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
108,en2cn,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
120,en2cn,2021/04/21,2021/10/21,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
106,en2cn,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
107,cn2en,2021/04/21,2021/10/21,5.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
