id,date,time,mode,rating
197,2021/06/19,13:08:48,cn2en,5
196,2021/06/19,13:08:57,en2cn,4
204,2021/06/19,13:09:01,cn2en,6
209,2021/06/19,13:09:47,cn2en,5
214,2021/06/19,13:09:53,en2cn,5
212,2021/06/19,13:09:58,en2cn,6
208,2021/06/19,13:10:03,cn2en,4
211,2021/06/19,13:10:11,cn2en,3
211,2021/06/19,13:10:15,en2cn,4
209,2021/06/19,13:10:18,en2cn,6
210,2021/06/19,13:10:29,en2cn,3
213,2021/06/19,13:10:38,en2cn,4
215,2021/06/19,13:10:50,en2cn,1
210,2021/06/19,13:10:54,cn2en,4
208,2021/06/19,13:11:12,en2cn,5
215,2021/06/19,13:11:19,cn2en,3
217,2021/06/19,13:31:00,en2cn,6
212,2021/06/19,13:31:02,cn2en,6
213,2021/06/19,13:31:05,cn2en,6
217,2021/06/19,13:31:08,cn2en,6
214,2021/06/19,13:31:10,cn2en,6
216,2021/06/19,13:31:17,cn2en,3
216,2021/06/19,13:31:20,en2cn,3
236,2021/06/21,22:30:05,en2cn,5
219,2021/06/21,22:30:09,cn2en,6
232,2021/06/21,22:30:15,en2cn,6
230,2021/06/21,22:30:26,cn2en,4
236,2021/06/21,22:30:29,cn2en,6
224,2021/06/21,22:30:46,en2cn,3
239,2021/06/21,22:30:52,cn2en,6
220,2021/06/21,22:30:55,en2cn,6
227,2021/06/21,22:30:59,en2cn,6
232,2021/06/21,22:31:02,cn2en,6
237,2021/06/21,22:31:08,en2cn,5
220,2021/06/21,22:31:10,cn2en,6
223,2021/06/21,22:31:16,cn2en,5
218,2021/06/21,22:31:45,en2cn,4
221,2021/06/21,22:31:50,cn2en,5
227,2021/06/21,22:31:54,cn2en,6
225,2021/06/21,22:32:04,en2cn,3
242,2021/06/21,22:32:21,cn2en,2
234,2021/06/21,22:32:34,cn2en,3
234,2021/06/21,22:32:41,en2cn,5
228,2021/06/21,22:32:45,cn2en,6
222,2021/06/21,22:32:50,cn2en,6
237,2021/06/21,22:32:54,cn2en,6
225,2021/06/21,22:32:59,cn2en,6
233,2021/06/21,22:33:11,en2cn,3
224,2021/06/21,22:33:20,cn2en,4
238,2021/06/21,22:33:40,cn2en,3
229,2021/06/21,22:33:48,cn2en,4
231,2021/06/21,22:33:54,en2cn,5
221,2021/06/21,22:34:03,en2cn,5
230,2021/06/21,22:34:09,en2cn,5
239,2021/06/21,22:34:13,en2cn,6
231,2021/06/21,22:34:16,cn2en,6
219,2021/06/21,22:34:19,en2cn,6
222,2021/06/21,22:34:23,en2cn,6
235,2021/06/21,22:34:31,en2cn,6
218,2021/06/21,22:34:37,cn2en,5
